state,SHELDED,FSSLTDED,CERTHHSZ,FSTANF,FSTOTDED,FSUNEARN,FSSTDDE2,FSASSET,FSNONCIT,HWGT,FSERNDED,LIQRESOR,FSSSI,TANF_IND,FSUSIZE
Alabama,224,211,2,3,477,463,169,0,0,3826,70,0,124,0,2
Alaska,252,255,2,55,637,537,222,154,0,834,88,154,82,0,2
Arizona,194,194,2,3,471,362,140,0,0,5353,91,0,83,0,2
Arkansas,129,132,2,1,377,498,162,115,0,1807,61,92,178,0,2
California,314,330,2,98,592,333,125,0,0,29938,87,0,0,0,2
Colorado,341,340,2,27,592,474,152,0,0,3335,69,0,108,0,2
Connecticut,510,500,1,27,737,581,128,0,0,3138,56,0,139,0,1
Delaware,222,237,2,11,513,494,157,0,0,1218,89,0,120,0,2
District of Columbia,235,260,1,63,470,436,129,0,0,865,40,0,138,0,1
Florida,309,311,1,5,572,499,165,0,0,19742,78,0,143,0,1
Georgia,223,225,2,1,481,461,146,0,0,8391,62,0,120,0,2
Guam,245,80,3,8,600,172,257,0,0,429,154,0,0,0,3
Hawaii,115,120,1,30,434,546,222,0,0,1546,69,0,132,0,1
Idaho,330,227,2,3,514,476,171,63,0,842,86,42,145,0,2
Illinois,247,257,1,5,518,428,139,0,0,13933,71,0,119,0,1
Indiana,246,258,2,1,520,485,170,32,0,3627,75,32,151,0,2
Iowa,222,223,2,14,510,482,163,1,0,2131,95,1,118,0,2
Kansas,263,276,2,8,551,485,174,152,0,1307,77,147,159,0,2
Kentucky,156,163,2,10,399,474,154,0,0,3318,56,0,168,0,2
Louisiana,208,213,2,1,449,430,153,82,0,6281,51,82,162,0,2
Maine,415,416,1,26,655,703,184,261,0,1119,65,217,161,0,1
Maryland,261,259,1,28,554,507,152,0,0,5320,76,0,104,0,1
Massachusetts,473,457,1,29,719,633,140,0,0,5550,52,0,174,0,1
Michigan,358,365,1,6,639,513,144,28,0,9548,74,28,150,0,1
Minnesota,302,308,1,0,583,580,166,0,0,2545,85,0,182,0,1
Mississippi,161,162,2,3,414,428,148,0,0,2780,63,0,110,0,2
Missouri,250,259,2,5,525,501,160,129,0,4369,58,128,144,0,2
Montana,308,319,2,37,595,480,161,0,0,904,89,0,101,0,2
Nebraska,286,289,2,19,569,494,163,64,0,1040,87,63,122,0,2
Nevada,183,194,1,12,454,388,141,0,0,2964,79,0,96,0,1
New Hampshire,382,383,1,42,632,707,167,134,0,823,63,130,172,0,1
New Jersey,381,380,1,6,649,595,169,0,0,6210,81,0,164,0,1
New Mexico,199,200,2,17,457,395,152,0,0,2689,77,0,107,0,2
New York,514,505,1,32,770,639,147,0,0,20324,68,0,126,0,1
North Carolina,251,259,2,3,548,437,154,0,0,7051,97,0,103,0,2
North Dakota,335,343,2,14,646,496,150,0,0,641,74,0,107,0,2
Ohio,301,306,1,13,554,564,164,0,0,8730,68,0,161,0,1
Oklahoma,188,192,2,3,441,398,150,0,0,3068,66,0,123,0,2
Oregon,304,304,1,20,561,488,145,0,0,4860,63,0,107,0,1
Pennsylvania,415,413,1,12,672,566,155,0,0,14056,74,0,151,0,1
Rhode Island,464,452,1,22,697,609,152,0,0,1546,56,0,167,0,1
South Carolina,186,189,2,7,455,471,152,0,0,3592,63,0,100,0,2
South Dakota,347,348,2,30,623,445,132,286,0,676,72,253,68,0,2
Tennessee,158,160,1,5,391,431,146,137,0,5409,48,137,133,0,1
Texas,250,250,2,3,540,435,170,0,0,22052,93,0,131,0,2
Utah,234,244,2,14,528,428,159,214,0,1031,94,212,117,0,2
Vermont,650,648,1,37,918,749,145,0,0,717,58,0,148,0,1
Virgin Islands,60,68,2,6,341,271,126,0,0,702,80,0,0,0,2
Virginia,191,195,2,14,448,524,169,161,0,5276,58,161,161,0,2
Washington,306,304,1,18,562,457,139,0,0,7074,72,0,53,0,1
West Virginia,231,220,1,3,448,529,155,0,0,2279,54,0,155,0,1
Wisconsin,275,281,2,10,571,558,165,0,0,4038,91,0,138,0,2
Wyoming,254,254,2,2,557,460,165,187,0,497,86,168,105,0,2
